scenario_name,scenario_title,lifecycle_level,scenario_path,scenario_type,primary_domain,operational_focus,target_resource,telemetry_signals,infrastructure_components,detection_inputs,correlation_context,incident_or_response_flow,recovery_or_validation_actions,evidence_outputs,used_modules,used_adapters
database-replication-visibility,Database Replication Visibility,level-1-visibility,scenarios/level-1-visibility/database-replication-visibility,Visibility / Monitoring,Database,Detect and expose operational health signals before incident escalation,"database instance, query workload, replication channel, storage backend",query latency; connection count; lock wait; replication lag; transaction error; database availability; storage I/O,Database Instance; Query Workload; Replication Channel; Storage Backend; Telemetry Source; Detection Logic; Evidence Output,query latency; connection count; lock wait; replication lag; transaction error; database availability; storage I/O,"Correlate database signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
database-runtime-visibility,Database Runtime Visibility,level-1-visibility,scenarios/level-1-visibility/database-runtime-visibility,Visibility / Monitoring,Database,Detect and expose operational health signals before incident escalation,"database instance, query workload, replication channel, storage backend",query latency; connection count; lock wait; replication lag; transaction error; database availability; storage I/O,Database Instance; Query Workload; Replication Channel; Storage Backend; Telemetry Source; Detection Logic; Evidence Output,query latency; connection count; lock wait; replication lag; transaction error; database availability; storage I/O,"Correlate database signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
dns-resolution-monitoring,Dns Resolution Monitoring,level-1-visibility,scenarios/level-1-visibility/dns-resolution-monitoring,Visibility / Monitoring,DNS / Name Resolution,Detect and expose operational health signals before incident escalation,"DNS resolver, DNS record, query path, client resolution flow",query success rate; resolution latency; NXDOMAIN rate; SERVFAIL rate; resolver availability; record consistency,Dns Resolver; Dns Record; Query Path; Client Resolution Flow; Telemetry Source; Detection Logic; Evidence Output,query success rate; resolution latency; NXDOMAIN rate; SERVFAIL rate; resolver availability; record consistency,"Correlate dns / name resolution signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
endpoint-reachability-monitoring,Endpoint Reachability Monitoring,level-1-visibility,scenarios/level-1-visibility/endpoint-reachability-monitoring,Visibility / Monitoring,Endpoint,Detect and expose operational health signals before incident escalation,"endpoint host, reachability path, agent signal, service access point",health status; availability signal; latency; error indicator; event log; metric threshold,Endpoint Host; Reachability Path; Agent Signal; Service Access Point; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate endpoint signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
endpoint-security-visibility,Endpoint Security Visibility,level-1-visibility,scenarios/level-1-visibility/endpoint-security-visibility,Visibility / Monitoring,Security / Telemetry,Detect and expose operational health signals before incident escalation,"security event, policy control, endpoint signal, audit source",authentication event; authorization failure; audit log; policy violation; privilege change; endpoint alert,Security Event; Policy Control; Endpoint Signal; Audit Source; Telemetry Source; Detection Logic; Evidence Output,authentication event; authorization failure; audit log; policy violation; privilege change; endpoint alert,"Correlate security / telemetry signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
filesystem-health-visibility,Filesystem Health Visibility,level-1-visibility,scenarios/level-1-visibility/filesystem-health-visibility,Visibility / Monitoring,Filesystem,Detect and expose operational health signals before incident escalation,"filesystem, mount point, volume, inode, disk path",health status; availability signal; latency; error indicator; event log; metric threshold,Filesystem; Mount Point; Volume; Inode; Disk Path; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate filesystem signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
hardware-health-monitoring,Hardware Health Monitoring,level-1-visibility,scenarios/level-1-visibility/hardware-health-monitoring,Visibility / Monitoring,Hardware,Detect and expose operational health signals before incident escalation,"physical host, hardware sensor, disk, power, fan, health controller",health status; availability signal; latency; error indicator; event log; metric threshold,Physical Host; Hardware Sensor; Disk; Power; Fan; Health Controller; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate hardware signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
hypervisor-resource-monitoring,Hypervisor Resource Monitoring,level-1-visibility,scenarios/level-1-visibility/hypervisor-resource-monitoring,Visibility / Monitoring,Virtualization,Detect and expose operational health signals before incident escalation,"hypervisor, VM host, resource pool, guest workload",health status; availability signal; latency; error indicator; event log; metric threshold,Hypervisor; Vm Host; Resource Pool; Guest Workload; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate virtualization signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
identity-access-visibility,Identity Access Visibility,level-1-visibility,scenarios/level-1-visibility/identity-access-visibility,Visibility / Monitoring,Identity / Access,Detect and expose operational health signals before incident escalation,"identity provider, access policy, authentication flow, account state",health status; availability signal; latency; error indicator; event log; metric threshold,Identity Provider; Access Policy; Authentication Flow; Account State; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate identity / access signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
kubernetes-cluster-health-monitoring,Kubernetes Cluster Health Monitoring,level-1-visibility,scenarios/level-1-visibility/kubernetes-cluster-health-monitoring,Visibility / Monitoring,Kubernetes / Cluster,Detect and expose operational health signals before incident escalation,"Kubernetes cluster, node, pod, control plane, service object",node readiness; pod health; API server availability; scheduling status; resource pressure; control plane signal,Kubernetes Cluster; Node; Pod; Control Plane; Service Object; Telemetry Source; Detection Logic; Evidence Output,node readiness; pod health; API server availability; scheduling status; resource pressure; control plane signal,"Correlate kubernetes / cluster signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
kubernetes-cluster-visibility,Kubernetes Cluster Visibility,level-1-visibility,scenarios/level-1-visibility/kubernetes-cluster-visibility,Visibility / Monitoring,Kubernetes / Cluster,Detect and expose operational health signals before incident escalation,"Kubernetes cluster, node, pod, control plane, service object",node readiness; pod health; API server availability; scheduling status; resource pressure; control plane signal,Kubernetes Cluster; Node; Pod; Control Plane; Service Object; Telemetry Source; Detection Logic; Evidence Output,node readiness; pod health; API server availability; scheduling status; resource pressure; control plane signal,"Correlate kubernetes / cluster signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
load-balancer-health-monitoring,Load Balancer Health Monitoring,level-1-visibility,scenarios/level-1-visibility/load-balancer-health-monitoring,Visibility / Monitoring,Load Balancing,Detect and expose operational health signals before incident escalation,"load balancer, listener, target group, backend service",target health; listener status; backend availability; request latency; 5xx count; traffic distribution,Load Balancer; Listener; Target Group; Backend Service; Telemetry Source; Detection Logic; Evidence Output,target health; listener status; backend availability; request latency; 5xx count; traffic distribution,"Correlate load balancing signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
message-queue-monitoring,Message Queue Monitoring,level-1-visibility,scenarios/level-1-visibility/message-queue-monitoring,Visibility / Monitoring,Message Queue,Detect and expose operational health signals before incident escalation,"message broker, queue depth, consumer group, producer flow",health status; availability signal; latency; error indicator; event log; metric threshold,Message Broker; Queue Depth; Consumer Group; Producer Flow; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate message queue signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
microservice-health-monitoring,Microservice Health Monitoring,level-1-visibility,scenarios/level-1-visibility/microservice-health-monitoring,Visibility / Monitoring,Microservice,Detect and expose operational health signals before incident escalation,"microservice, service endpoint, dependency call path, runtime signal",health status; availability signal; latency; error indicator; event log; metric threshold,Microservice; Service Endpoint; Dependency Call Path; Runtime Signal; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate microservice signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
network-path-visibility,Network Path Visibility,level-1-visibility,scenarios/level-1-visibility/network-path-visibility,Visibility / Monitoring,Network / Routing,Detect and expose operational health signals before incident escalation,"network path, route, interface, traffic flow",link status; route change; BGP state; packet loss; latency; interface utilization; traffic volume,Network Path; Route; Interface; Traffic Flow; Telemetry Source; Detection Logic; Evidence Output,link status; route change; BGP state; packet loss; latency; interface utilization; traffic volume,"Correlate network / routing signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
network-traffic-visibility,Network Traffic Visibility,level-1-visibility,scenarios/level-1-visibility/network-traffic-visibility,Visibility / Monitoring,Network / Routing,Detect and expose operational health signals before incident escalation,"network path, route, interface, traffic flow",link status; route change; BGP state; packet loss; latency; interface utilization; traffic volume,Network Path; Route; Interface; Traffic Flow; Telemetry Source; Detection Logic; Evidence Output,link status; route change; BGP state; packet loss; latency; interface utilization; traffic volume,"Correlate network / routing signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
object-storage-health-monitoring,Object Storage Health Monitoring,level-1-visibility,scenarios/level-1-visibility/object-storage-health-monitoring,Visibility / Monitoring,Storage,Detect and expose operational health signals before incident escalation,"storage volume, storage backend, object store, I/O path",disk utilization; inode usage; mount status; I/O latency; object availability; capacity trend; storage error,Storage Volume; Storage Backend; Object Store; I/O Path; Telemetry Source; Detection Logic; Evidence Output,disk utilization; inode usage; mount status; I/O latency; object availability; capacity trend; storage error,"Correlate storage signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
privileged-session-monitoring,Privileged Session Monitoring,level-1-visibility,scenarios/level-1-visibility/privileged-session-monitoring,Visibility / Monitoring,Privileged Access,Detect and expose operational health signals before incident escalation,"privileged session, admin account, access control, audit source",health status; availability signal; latency; error indicator; event log; metric threshold,Privileged Session; Admin Account; Access Control; Audit Source; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate privileged access signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
process-health-monitoring,Process Health Monitoring,level-1-visibility,scenarios/level-1-visibility/process-health-monitoring,Visibility / Monitoring,Process / Service,Detect and expose operational health signals before incident escalation,"process, service runtime, OS host, health signal",health status; availability signal; latency; error indicator; event log; metric threshold,Process; Service Runtime; Os Host; Health Signal; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate process / service signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
security-event-monitoring,Security Event Monitoring,level-1-visibility,scenarios/level-1-visibility/security-event-monitoring,Visibility / Monitoring,Security / Telemetry,Detect and expose operational health signals before incident escalation,"security event, policy control, endpoint signal, audit source",authentication event; authorization failure; audit log; policy violation; privilege change; endpoint alert,Security Event; Policy Control; Endpoint Signal; Audit Source; Telemetry Source; Detection Logic; Evidence Output,authentication event; authorization failure; audit log; policy violation; privilege change; endpoint alert,"Correlate security / telemetry signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
security-policy-visibility,Security Policy Visibility,level-1-visibility,scenarios/level-1-visibility/security-policy-visibility,Visibility / Monitoring,Security / Telemetry,Detect and expose operational health signals before incident escalation,"security event, policy control, endpoint signal, audit source",authentication event; authorization failure; audit log; policy violation; privilege change; endpoint alert,Security Event; Policy Control; Endpoint Signal; Audit Source; Telemetry Source; Detection Logic; Evidence Output,authentication event; authorization failure; audit log; policy violation; privilege change; endpoint alert,"Correlate security / telemetry signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
security-telemetry-monitoring,Security Telemetry Monitoring,level-1-visibility,scenarios/level-1-visibility/security-telemetry-monitoring,Visibility / Monitoring,Security / Telemetry,Detect and expose operational health signals before incident escalation,"security event, policy control, endpoint signal, audit source",authentication event; authorization failure; audit log; policy violation; privilege change; endpoint alert,Security Event; Policy Control; Endpoint Signal; Audit Source; Telemetry Source; Detection Logic; Evidence Output,authentication event; authorization failure; audit log; policy violation; privilege change; endpoint alert,"Correlate security / telemetry signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
service-health-visibility,Service Health Visibility,level-1-visibility,scenarios/level-1-visibility/service-health-visibility,Visibility / Monitoring,General Infrastructure,Detect and expose operational health signals before incident escalation,"infrastructure component, telemetry source, operational dependency",health status; availability signal; latency; error indicator; event log; metric threshold,Infrastructure Component; Telemetry Source; Operational Dependency; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate general infrastructure signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
